时间,前值,现值,发布日期
2008年01月,5.19,5.21,2008-02-16
2008年02月,5.21,5.21,2008-03-18
2008年03月,5.21,5.2,2008-04-16
2008年04月,5.2,5.3,2008-05-17
2008年05月,5.3,5.2,2008-06-16
2008年06月,5.2,5.4,2008-07-17
2008年07月,5.4,5.5,2008-08-16
2008年08月,5.5,5.7,2008-09-16
2008年09月,5.7,5.9,2008-10-17
2008年10月,5.9,6.0,2008-11-16
2008年11月,6.0,6.2,2008-12-17
2008年12月,6.2,6.4,2009-01-16
2009年01月,6.4,6.5,2009-02-16
2009年02月,6.5,6.7,2009-03-19
2009年03月,6.7,7.1,2009-04-16
2009年04月,7.1,7.3,2009-05-17
2009年05月,7.3,7.6,2009-06-16
2009年06月,7.6,7.8,2009-07-17
2009年07月,7.8,7.9,2009-08-16
2009年08月,7.9,7.9,2009-09-16
2009年09月,7.9,7.8,2009-10-17
2009年10月,7.8,7.9,2009-11-16
2009年11月,7.9,7.8,2009-12-17
2009年12月,7.8,7.8,2010-01-16
2010年01月,7.8,7.7,2010-02-16
2010年02月,7.7,7.9,2010-03-19
2010年03月,7.9,8.0,2010-04-16
2010年04月,8.0,8.0,2010-05-17
2010年05月,8.0,7.9,2010-06-16
2010年06月,7.9,7.9,2010-07-17
2010年07月,7.9,7.8,2010-08-16
2010年08月,7.8,7.8,2010-09-16
2010年09月,7.8,7.8,2010-10-17
2010年10月,7.8,7.9,2010-11-16
2010年11月,7.9,7.9,2010-12-17
2010年12月,7.9,7.9,2011-01-16
2011年01月,7.9,7.9,2011-02-16
2011年02月,7.9,7.8,2011-03-19
2011年03月,7.8,7.8,2011-04-16
2011年04月,7.8,7.7,2011-05-17
2011年05月,7.7,7.8,2011-06-16
2011年06月,7.8,7.9,2011-07-17
2011年07月,7.9,8.0,2011-08-16
2011年08月,8.0,8.2,2011-09-16
2011年09月,8.2,8.3,2011-10-17
2011年10月,8.3,8.4,2011-11-16
2011年11月,8.4,8.5,2011-12-17
2011年12月,8.5,8.4,2012-01-16
2012年01月,8.4,8.4,2012-02-16
2012年02月,8.4,8.3,2012-03-18
2012年03月,8.3,8.2,2012-04-16
2012年04月,8.2,8.2,2012-05-17
2012年05月,8.2,8.1,2012-06-16
2012年06月,8.1,8.0,2012-07-17
2012年07月,8.0,8.0,2012-08-16
2012年08月,8.0,7.9,2012-09-16
2012年09月,7.9,7.9,2012-10-17
2012年10月,7.9,7.9,2012-11-16
2012年11月,7.9,7.8,2012-12-17
2012年12月,7.8,7.8,2013-01-16
2013年01月,7.8,7.8,2013-02-16
2013年02月,7.8,8.0,2013-03-19
2013年03月,8.0,7.8,2013-04-16
2013年04月,7.8,7.8,2013-05-17
2013年05月,7.8,7.8,2013-06-16
2013年06月,7.8,7.7,2013-07-17
2013年07月,7.7,7.7,2013-08-16
2013年08月,7.7,7.7,2013-09-16
2013年09月,7.7,7.6,2013-10-17
2013年10月,7.6,7.4,2013-11-16
2013年11月,7.4,7.2,2013-12-17
2013年12月,7.2,7.2,2014-01-16
2014年01月,7.2,7.2,2014-02-16
2014年02月,7.2,6.9,2014-03-19
2014年03月,6.9,6.8,2014-04-16
2014年04月,6.8,6.6,2014-05-17
2014年05月,6.6,6.4,2014-06-16
2014年06月,6.4,6.3,2014-07-17
2014年07月,6.3,6.1,2014-08-16
2014年08月,6.1,6.0,2014-09-16
2014年09月,6.0,6.0,2014-10-17
2014年10月,6.0,6.0,2014-11-16
2014年11月,6.0,5.9,2014-12-17
2014年12月,5.9,5.7,2015-01-16
2015年01月,5.7,5.7,2015-02-16
2015年02月,5.7,5.6,2015-03-19
2015年03月,5.6,5.5,2015-04-16
2015年04月,5.5,5.5,2015-05-17
2015年05月,5.5,5.6,2015-07-15
2015年06月,5.6,5.6,2015-08-12
2015年07月,5.6,5.5,2015-09-16
2015年08月,5.5,5.4,2015-10-14
2015年09月,5.4,5.3,2015-11-11
2015年10月,5.3,5.2,2015-12-16
2015年11月,5.2,5.1,2016-01-20
2015年12月,5.1,5.1,2016-02-17
2016年01月,5.1,5.1,2016-03-16
2016年02月,5.1,5.1,2016-04-20
2016年03月,5.1,5.1,2016-05-18
2016年04月,5.1,5.0,2016-06-15
