时间,前值,现值,发布日期
2008年01月,-31.65457254,-69.07029478,2008-02-27
2008年02月,-69.07029478,-109.65946734,2008-03-29
2008年03月,-109.65946734,0.69912786,2008-04-27
2008年04月,0.69912786,21.24963589,2008-05-28
2008年05月,21.24963589,-92.30230441,2008-06-27
2008年06月,-92.30230441,-23.38771939,2008-07-28
2008年07月,-23.38771939,-137.99633476,2008-08-27
2008年08月,-137.99633476,5.81310325,2008-09-27
2008年09月,5.81310325,-8.5766547,2008-10-28
2008年10月,-8.5766547,-65.09935305,2008-11-27
2008年11月,-65.09935305,48.8997555,2008-12-28
2008年12月,48.8997555,57.05942473,2009-01-27
2009年01月,57.05942473,196.94206009,2009-02-27
2009年02月,196.94206009,-46.691525,2009-03-30
2009年03月,-46.691525,35.34117982,2009-04-27
2009年04月,35.34117982,-0.82608964,2009-05-28
2009年05月,-0.82608964,59.9854307,2009-06-27
2009年06月,59.9854307,31.23931089,2009-07-28
2009年07月,31.23931089,-11.23203285,2009-08-27
2009年08月,-11.23203285,-69.62192376,2009-09-27
2009年09月,-69.62192376,-81.82442129,2009-10-28
2009年10月,-81.82442129,-34.28031628,2009-11-27
2009年11月,-34.28031628,-154.27554901,2009-12-28
2009年12月,-154.27554901,-184.29955797,2010-01-27
2010年01月,-184.29955797,-508.25954621,2010-02-27
2010年02月,-508.25954621,15.34186377,2010-03-30
2010年03月,15.34186377,-113.84733832,2010-04-27
2010年04月,-113.84733832,-115.43870376,2010-05-28
2010年05月,-115.43870376,-128.35426907,2010-06-27
2010年06月,-128.35426907,-85.63455472,2010-07-28
2010年07月,-85.63455472,-40.79287428,2010-08-27
2010年08月,-40.79287428,45.45288114,2010-09-27
2010年09月,45.45288114,16.10445764,2010-10-28
2010年10月,16.10445764,-16.03439291,2010-11-27
2010年11月,-16.03439291,-13.42275403,2010-12-28
2010年12月,-13.42275403,-30.19285394,2011-01-27
2011年01月,-30.19285394,45.90463926,2011-02-27
2011年02月,45.90463926,-27.80661578,2011-03-30
2011年03月,-27.80661578,-3.07822867,2011-04-27
2011年04月,-3.07822867,-20.43990351,2011-05-28
2011年05月,-20.43990351,-42.27687647,2011-06-27
2011年06月,-42.27687647,-31.57189542,2011-07-28
2011年07月,-31.57189542,-17.75985839,2011-08-27
2011年08月,-17.75985839,-191.79392516,2011-09-27
2011年09月,-191.79392516,-63.45304319,2011-10-28
2011年10月,-63.45304319,-3.91161809,2011-11-27
2011年11月,-3.91161809,-87.61698145,2011-12-28
2011年12月,-87.61698145,-12.32574696,2012-01-27
2012年01月,-12.32574696,44.52170645,2012-02-27
2012年02月,44.52170645,-82.3126543,2012-03-29
2012年03月,-82.3126543,-9.46036973,2012-04-27
2012年04月,-9.46036973,-1.02740533,2012-05-28
2012年05月,-1.02740533,0.35581206,2012-06-27
2012年06月,0.35581206,-11.0379772,2012-07-28
2012年07月,-11.0379772,-11.70494085,2012-08-27
2012年08月,-11.70494085,-3.61168622,2012-09-27
2012年09月,-3.61168622,-12.99016541,2012-10-28
2012年10月,-12.99016541,-84.42389143,2012-11-27
2012年11月,-84.42389143,0.07935608,2012-12-28
2012年12月,0.07935608,1.96074422,2013-01-27
2013年01月,1.96074422,-210.10614273,2013-02-27
2013年02月,-210.10614273,25.76770192,2013-03-30
2013年03月,25.76770192,-12.01367521,2013-04-27
2013年04月,-12.01367521,0.41284725,2013-05-28
2013年05月,0.41284725,-24.46437609,2013-06-27
2013年06月,-24.46437609,-11.11285091,2013-07-28
2013年07月,-11.11285091,7.42088213,2013-08-27
2013年08月,7.42088213,-9.81904973,2013-09-27
2013年09月,-9.81904973,6.95871722,2013-10-28
2013年10月,6.95871722,10.82677165,2013-11-27
2013年11月,10.82677165,-1.15951895,2013-12-28
2013年12月,-1.15951895,-13.34695835,2014-01-27
2014年01月,-13.34695835,27.25121072,2014-02-27
2014年02月,27.25121072,-57.91750029,2014-03-30
2014年03月,-57.91750029,-2.48036463,2014-04-27
2014年04月,-2.48036463,-29.49690838,2014-05-28
2014年05月,-29.49690838,4.33053968,2014-06-27
2014年06月,4.33053968,13.22247499,2014-07-28
2014年07月,13.22247499,-13.40439276,2014-08-27
2014年08月,-13.40439276,20.33105888,2014-09-27
2014年09月,20.33105888,-19.89764342,2014-10-28
2014年10月,-19.89764342,-30.98391675,2014-11-27
2014年11月,-30.98391675,-17.00724524,2014-12-28
2014年12月,-17.00724524,-9.01915328,2015-01-27
2015年01月,-9.01915328,-85.26953301,2015-02-27
2015年02月,-85.26953301,33.14329365,2015-03-30
2015年03月,33.14329365,8.25771865,2015-04-27
2015年04月,8.25771865,29.16621451,2015-05-28
2015年05月,29.16621451,5.2892562,2015-06-27
2015年06月,5.2892562,-6.21273634,2015-07-28
2015年07月,-6.21273634,32.51210481,2015-08-27
2015年08月,32.51210481,20.4631245,2015-09-27
2015年09月,20.4631245,27.77104965,2015-10-28
2015年10月,27.77104965,40.51201798,2015-11-27
2015年11月,40.51201798,36.55848015,2015-12-28
2015年12月,36.55848015,22.8629774,2016-01-27
2016年01月,22.8629774,52.77049845,2016-02-27
2016年02月,52.77049845,7.6217813,2016-03-29
2016年03月,7.6217813,-1.77898974,2016-04-27
2016年04月,-1.77898974,20.77673374,2016-05-28
