时间,前值,现值,发布日期
2008年01月,4.5,4.4,2008-02-13
2008年02月,4.4,4.5,2008-03-15
2008年03月,4.5,5.1,2008-04-13
2008年04月,5.1,4.4,2008-05-14
2008年05月,4.4,4.8,2008-06-13
2008年06月,4.8,4.6,2008-07-14
2008年07月,4.6,4.6,2008-08-13
2008年08月,4.6,4.5,2008-09-13
2008年09月,4.5,4.0,2008-10-14
2008年10月,4.0,3.0,2008-11-13
2008年11月,3.0,1.6,2008-12-14
2008年12月,1.6,1.6,2009-01-13
2009年01月,1.6,1.1,2009-02-13
2009年02月,1.1,1.3,2009-03-16
2009年03月,1.3,0.6,2009-04-13
2009年04月,0.6,0.2,2009-05-14
2009年05月,0.2,-0.2,2009-06-13
2009年06月,-0.2,0.2,2009-07-14
2009年07月,0.2,-0.7,2009-08-13
2009年08月,-0.7,-1.0,2009-09-13
2009年09月,-1.0,-0.9,2009-10-14
2009年10月,-0.9,-1.0,2009-11-13
2009年11月,-1.0,-0.6,2009-12-14
2009年12月,-0.6,-0.3,2010-01-13
2010年01月,-0.3,-0.6,2010-02-13
2010年02月,-0.6,-0.8,2010-03-16
2010年03月,-0.8,-0.1,2010-04-13
2010年04月,-0.1,0.3,2010-05-14
2010年05月,0.3,0.3,2010-06-13
2010年06月,0.3,-0.4,2010-07-14
2010年07月,-0.4,0.5,2010-08-13
2010年08月,0.5,0.8,2010-09-13
2010年09月,0.8,0.9,2010-10-14
2010年10月,0.9,1.0,2010-11-13
2010年11月,1.0,1.4,2010-12-14
2010年12月,1.4,1.3,2011-01-13
2011年01月,1.3,1.2,2011-02-13
2011年02月,1.2,1.7,2011-03-16
2011年03月,1.7,1.6,2011-04-13
2011年04月,1.6,1.4,2011-05-14
2011年05月,1.4,2.0,2011-06-13
2011年06月,2.0,2.0,2011-07-14
2011年07月,2.0,1.9,2011-08-13
2011年08月,1.9,2.1,2011-09-13
2011年09月,2.1,2.6,2011-10-14
2011年10月,2.6,2.7,2011-11-13
2011年11月,2.7,2.5,2011-12-14
2011年12月,2.5,2.2,2012-01-13
2012年01月,2.2,2.7,2012-02-13
2012年02月,2.7,2.8,2012-03-15
2012年03月,2.8,2.9,2012-04-13
2012年04月,2.9,2.8,2012-05-14
2012年05月,2.8,2.4,2012-06-13
2012年06月,2.4,2.6,2012-07-14
2012年07月,2.6,2.4,2012-08-13
2012年08月,2.4,2.4,2012-09-13
2012年09月,2.4,2.1,2012-10-14
2012年10月,2.1,2.2,2012-11-13
2012年11月,2.2,2.6,2012-12-14
2012年12月,2.6,2.8,2013-01-13
2013年01月,2.8,2.5,2013-02-13
2013年02月,2.5,2.0,2013-03-16
2013年03月,2.0,2.2,2013-04-13
2013年04月,2.2,2.3,2013-05-14
2013年05月,2.3,2.8,2013-06-13
2013年06月,2.8,3.0,2013-07-14
2013年07月,3.0,3.3,2013-08-13
2013年08月,3.3,2.8,2013-09-13
2013年09月,2.8,2.7,2013-10-14
2013年10月,2.7,2.5,2013-11-13
2013年11月,2.5,2.1,2013-12-14
2013年12月,2.1,2.3,2014-01-13
2014年01月,2.3,2.4,2014-02-12
2014年02月,2.4,2.2,2014-03-15
2014年03月,2.2,1.7,2014-04-12
2014年04月,1.7,1.3,2014-05-13
2014年05月,1.3,0.8,2014-06-12
2014年06月,0.8,0.5,2014-07-13
2014年07月,0.5,0.5,2014-08-12
2014年08月,0.5,0.7,2014-09-12
2014年09月,0.7,1.0,2014-10-13
2014年10月,1.0,0.7,2014-11-12
2014年11月,0.7,0.2,2014-12-13
2014年12月,0.2,0.2,2015-01-12
2015年01月,0.2,0.7,2015-02-12
2015年02月,0.7,0.3,2015-03-15
2015年03月,0.3,0.0,2015-04-12
2015年04月,0.0,0.6,2015-05-13
2015年05月,0.6,0.5,2015-06-12
2015年06月,0.5,0.3,2015-07-13
2015年07月,0.3,0.1,2015-08-12
2015年08月,0.1,0.0,2015-09-12
2015年09月,0.0,0.0,2015-10-13
2015年10月,0.0,0.4,2015-11-12
2015年11月,0.4,0.6,2015-12-13
2015年12月,0.6,0.4,2016-01-12
2016年01月,0.4,0.5,2016-02-12
2016年02月,0.5,0.4,2016-03-14
2016年03月,0.4,0.4,2016-04-12
2016年04月,0.4,0.4,2016-05-13
